name?Ticker?ticker?Industry
Drilling Tools International Corporation?NasdaqCM:DTI?DTI?Oil and Gas Equipment and Services
eXoZymes, Inc.?NasdaqCM:EXOZ?EXOZ?Biotechnology
Resolute Holdings Management, Inc.?NasdaqGM:RHLD?RHLD?Research and Consulting Services
B. Riley Financial, Inc.?NasdaqGM:RILY?RILY?Investment Banking and Brokerage
Septerna, Inc.?NasdaqGM:SEPN?SEPN?Pharmaceuticals
Turtle Beach Corporation?NasdaqGM:TBCH?TBCH?Technology Hardware, Storage and Peripherals
Twin Hospitality Group Inc.?NasdaqGM:TWNP?TWNP?Restaurants
zSpace, Inc.?NasdaqGM:ZSPC?ZSPC?Education Services
Alignment Healthcare, Inc.?NasdaqGS:ALHC?ALHC?Managed Health Care
Angi Inc.?NasdaqGS:ANGI?ANGI?Interactive Media and Services
BioAge Labs, Inc.?NasdaqGS:BIOA?BIOA?Pharmaceuticals
ZoomInfo Technologies Inc.?NasdaqGS:GTM?GTM?Interactive Media and Services
H2O America?NasdaqGS:HTO?HTO?Water Utilities
MBX Biosciences, Inc.?NasdaqGS:MBX?MBX?Pharmaceuticals
Metsera, Inc.?NasdaqGS:MTSR?MTSR?Biotechnology
Penguin Solutions, Inc.?NasdaqGS:PENG?PENG?Semiconductors
Smithfield Foods, Inc.?NasdaqGS:SFD?SFD?Packaged Foods and Meats
Sandisk Corporation?NasdaqGS:SNDK?SNDK?Technology Hardware, Storage and Peripherals
Starz Entertainment Corp.?NasdaqGS:STRZ?STRZ?Movies and Entertainment
Teads Holding Co.?NasdaqGS:TEAD?TEAD?Interactive Media and Services
Upstream Bio, Inc.?NasdaqGS:UPB?UPB?Biotechnology
Zenas BioPharma, Inc.?NasdaqGS:ZBIO?ZBIO?Biotechnology
Acadian Asset Management Inc.?NYSE:AAMI?AAMI?Asset Management and Custody Banks
Brown-Forman Corporation?NYSE:BF.A?BF.A?Distillers and Vintners
Brown-Forman Corporation?NYSE:BF.B?BF.B?Distillers and Vintners
BKV Corporation?NYSE:BKV?BKV?Oil and Gas Exploration and Production
Berkshire Hathaway Inc.?NYSE:BRK.B?BRK.B?Multi-Sector Holdings
Costamare Bulkers Holdings Limited?NYSE:CMDB?CMDB?Marine Transportation
Core Natural Resources, Inc.?NYSE:CNR?CNR?Coal and Consumable Fuels
Crawford & Company?NYSE:CRD.A?CRD.A?Insurance Brokers
Clearway Energy, Inc.?NYSE:CWEN.A?CWEN.A?Renewable Electricity
Diebold Nixdorf, Incorporated?NYSE:DBD?DBD?Technology Hardware, Storage and Peripherals
Everus Construction Group, Inc.?NYSE:ECG?ECG?Construction and Engineering
Flagstar Financial, Inc.?NYSE:FLG?FLG?Regional Banks
FrontView REIT, Inc.?NYSE:FVR?FVR?Retail REITs
Greif, Inc.?NYSE:GEF.B?GEF.B?Metal, Glass and Plastic Containers
Guardian Pharmacy Services, Inc.?NYSE:GRDN?GRDN?Drug Retail
HEICO Corporation?NYSE:HEI.A?HEI.A?Aerospace and Defense
HomeTrust Bancshares, Inc.?NYSE:HTB?HTB?Regional Banks
Ingram Micro Holding Corporation?NYSE:INGM?INGM?Technology Distributors
Infinity Natural Resources, Inc.?NYSE:INR?INR?Oil and Gas Exploration and Production
JBT Marel Corporation?NYSE:JBTM?JBTM?Industrial Machinery and Supplies and Components
KinderCare Learning Companies, Inc.?NYSE:KLC?KLC?Education Services
Lennar Corporation?NYSE:LEN.B?LEN.B?Homebuilding
Lionsgate Studios Corp.?NYSE:LION?LION?Movies and Entertainment
Moog Inc.?NYSE:MOG.A?MOG.A?Aerospace and Defense
Millrose Properties, Inc.?NYSE:MRP?MRP?Other Specialized REITs
Nelnet, Inc.?NYSE:NNI?NNI?Consumer Finance
NPK International Inc.?NYSE:NPKI?NPKI?Trading Companies and Distributors
PACS Group, Inc.?NYSE:PACS?PACS?Health Care Facilities
Primo Brands Corporation?NYSE:PRMB?PRMB?Soft Drinks and Non-alcoholic Beverages
Pursuit Attractions and Hospitality, Inc.?NYSE:PRSU?PRSU?Leisure Facilities
StandardAero, Inc.?NYSE:SARO?SARO?Aerospace and Defense
Somnigroup International Inc.?NYSE:SGI?SGI?Home Furnishings
T1 Energy Inc.?NYSE:TE?TE?Electrical Components and Equipment
U-Haul Holding Company?NYSE:UHAL.B?UHAL.B?Cargo Ground Transportation
Block, Inc.?NYSE:XYZ?XYZ?Transaction and Payment Processing Services
ACCESS Newswire Inc.?NYSEAM:ACCS?ACCS?Application Software
AXIL Brands, Inc.?NYSEAM:AXIL?AXIL?Personal Care Products
Legacy Education Inc.?NYSEAM:LGCY?LGCY?Education Services
OS Therapies Incorporated?NYSEAM:OSTX?OSTX?Biotechnology
High Roller Technologies, Inc.?NYSEAM:ROLR?ROLR?Casinos and Gaming
Toppoint Holdings Inc.?NYSEAM:TOPP?TOPP?Cargo Ground Transportation
