Q12024,NasdaqCM:ATLO,186,,,,,,,,,Lead,DNegative,Positive,Positive,HPositive,Discount,Premium,MicroCap,HASpread,A3YSpread,HHYield,HHYieldA3Y,SHPR,HPRA3Y,MCFOR,HCFORA3Y
Q12024,NasdaqCM:ATOM,112.9,,,,,,,,,Copper,,,Negative,,,,MicroCap,,,NoDiv,NoDiv,NoDiv,NoDiv,,
Q12024,NasdaqCM:AUGX,127.2,,,,,,,,,Diamond,SHPositive,HHPositive,Negative,Negative,Discount,Discount,MicroCap,SHSpread,HH3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:AVTX,12.1,,,,,,,,,Lead,,,Negative,Negative,,,MicroCap,,,NoDiv,,NoDiv,NoDiv,NegCFOR,
Q12024,NasdaqCM:AXGN,256.5,,,,,,,,,Diamond,HPositive,HPositive,Negative,Negative,Discount,Discount,SmallCap,HSpread,H3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BAFN,52.4,,,,,,,,,Lead,,,Negative,Positive,,,MicroCap,,,MYield,LYieldA3Y,LPR,VLPRA3Y,,
Q12024,NasdaqCM:BBCP,365.3,,,,,,,,,Lead,,HPositive,Negative,,Premium,,SmallCap,,H3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,,MCFORA3Y
Q12024,NasdaqCM:BCDA,10.6,,,,,,,,,Lead,,,Negative,Negative,,,MicroCap,,,NoDiv,,NoDiv,NoDiv,NegCFOR,
Q12024,NasdaqCM:BCLI,29.4,,,,,,,,,Copper,,,Negative,,,,MicroCap,,,NoDiv,NoDiv,NoDiv,NoDiv,,
Q12024,NasdaqCM:BCOW,39.6,,,,,,,,,Lead,,Positive,Negative,Negative,Premium,,MicroCap,,3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,LCFORA3Y
Q12024,NasdaqCM:BEEM,91,,,,,,,,,Diamond,SHPositive,SHPositive,Negative,Negative,Discount,Discount,MicroCap,SHSpread,SH3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BFC,833.2,,,,,,,,,Lead,SHPositive,HHPositive,Negative,SHPositive,Premium,Premium,SmallCap,SHSpread,HH3YSpread,MYield,LYieldA3Y,LPR,VLPRA3Y,MCFOR,HCFORA3Y
Q12024,NasdaqCM:BGXX,40.8,,,,,,,,,Lead,,,Negative,,,,MicroCap,,,NoDiv,,NoDiv,NoDiv,,
Q12024,NasdaqCM:BHRB,370.9,,,,,,,,,Lead,,,Negative,HPositive,,,SmallCap,,,HYield,,SHPR,,HCFOR,
Q12024,NasdaqCM:BIVI,26.6,,,,,,,,,Copper,,,Negative,,,,MicroCap,,,NoDiv,NoDiv,NoDiv,NoDiv,,
Q12024,NasdaqCM:BLDE,270.7,,,,,,,,,Lead,SHPositive,SHPositive,HHPositive,Negative,Premium,Premium,SmallCap,Spread,SH3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BLFS,812.7,,,,,,,,,Lead,DNegative,SHPositive,SHPositive,Negative,Discount,Discount,SmallCap,SHASpread,3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BLNK,292.9,,,,,,,,,Platinum,SHPositive,SHPositive,SHPositive,Negative,Discount,Discount,SmallCap,HHSpread,SH3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BMRC,258.4,,,,,,,,,Lead,DDNegative,Positive,Positive,HPositive,Discount,Premium,SmallCap,SHASpread,A3YSpread,SHYield,HHYieldA3Y,SHPR,HPRA3Y,MCFOR,HCFORA3Y
Q12024,NasdaqCM:BOTJ,47.2,,,,,,,,,Lead,Negative,Positive,DNegative,HHPositive,Discount,Premium,MicroCap,HSpread,HH3YSpread,MYield,MYieldA3Y,VLPR,VLPRA3Y,,MCFORA3Y
Q12024,NasdaqCM:BSBK,85,,,,,,,,,Lead,DDNegative,Positive,HPositive,Negative,Premium,Premium,MicroCap,SHASpread,A3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,,HCFORA3Y
Q12024,NasdaqCM:BSGM,14.2,,,,,,,,,Lead,,,Negative,,,,MicroCap,,,NoDiv,,NoDiv,NoDiv,,
Q12024,NasdaqCM:BTAI,78.5,,,,,,,,,Copper,,,Negative,Negative,,,MicroCap,,,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,
Q12024,NasdaqCM:BTBT,232.8,,,,,,,,,Silver,SHPositive,HPositive,HHPositive,SHPositive,Premium,Discount,MicroCap,SHSpread,A3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,NegCFOR,NegCFORA3Y
Q12024,NasdaqCM:BVFL,120.5,,,,,,,,,Lead,,,Negative,,,,MicroCap,,,,,,,,
Q12024,NasdaqCM:BWB,323.6,,,,,,,,,Lead,DNegative,HPositive,Negative,HHPositive,Discount,Premium,SmallCap,HASpread,H3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,MCFOR,HHCFORA3Y
Q12024,NasdaqCM:BWEN,46.8,,,,,,,,,Osmium,Positive,Positive,Negative,Positive,Premium,Premium,MicroCap,HSpread,3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,LCFOR,LCFORA3Y
Q12024,NasdaqCM:BYFC,40.2,,,,,,,,,Iridium,,SHPositive,Negative,,Premium,,MicroCap,,SH3YSpread,NoDiv,NoDiv,NoDiv,NoDiv,,SHPCFORA3Y
