STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
MET,NYSE:MET,"MetLife, Inc.",Life and Health Insurance
MSCI,NYSE:MSCI,MSCI Inc.,Financial Exchanges and Data
ADSK,NasdaqGS:ADSK,"Autodesk, Inc.",Application Software
LVS,NYSE:LVS,Las Vegas Sands Corp.,Casinos and Gaming
TEAM,NasdaqGS:TEAM,Atlassian Corporation,Application Software
ADM,NYSE:ADM,Archer-Daniels-Midland Company,Agricultural Products and Services
PH,NYSE:PH,Parker-Hannifin Corporation,Industrial Machinery and Supplies and Components
CTVA,NYSE:CTVA,"Corteva, Inc.",Fertilizers and Agricultural Chemicals
RSG,NYSE:RSG,"Republic Services, Inc.",Environmental and Facilities Services
TT,NYSE:TT,Trane Technologies plc,Building Products
O,NYSE:O,Realty Income Corporation,Retail REITs
STZ,NYSE:STZ,"Constellation Brands, Inc.",Distillers and Vintners
EXC,NasdaqGS:EXC,Exelon Corporation,Electric Utilities
IDXX,NasdaqGS:IDXX,"IDEXX Laboratories, Inc.",Health Care Equipment
JCI,NYSE:JCI,Johnson Controls International plc,Building Products
SQ,NYSE:SQ,"Block, Inc.",Transaction and Payment Processing Services
PAYX,NasdaqGS:PAYX,"Paychex, Inc.",Human Resource and Employment Services
AJG,NYSE:AJG,Arthur J. Gallagher & Co.,Insurance Brokers
HES,NYSE:HES,Hess Corporation,Oil and Gas Exploration and Production
TDG,NYSE:TDG,TransDigm Group Incorporated,Aerospace and Defense
BIIB,NasdaqGS:BIIB,Biogen Inc.,Biotechnology
TRV,NYSE:TRV,"The Travelers Companies, Inc.",Property and Casualty Insurance
AFL,NYSE:AFL,Aflac Incorporated,Life and Health Insurance
KMI,NYSE:KMI,"Kinder Morgan, Inc.",Oil and Gas Storage and Transportation
GFS,NasdaqGS:GFS,GLOBALFOUNDRIES Inc.,Semiconductors
SYY,NYSE:SYY,Sysco Corporation,Food Distributors
NEM,NYSE:NEM,Newmont Corporation,Gold
NUE,NYSE:NUE,Nucor Corporation,Steel
DOW,NYSE:DOW,Dow Inc.,Commodity Chemicals
LNG,NYSEAM:LNG,"Cheniere Energy, Inc.",Oil and Gas Storage and Transportation
PCAR,NasdaqGS:PCAR,PACCAR Inc,Construction Machinery and Heavy Transportation Equipment
CARR,NYSE:CARR,Carrier Global Corporation,Building Products
SGEN,NasdaqGS:SGEN,Seagen Inc.,Biotechnology
HLT,NYSE:HLT,Hilton Worldwide Holdings Inc.,"Hotels, Resorts and Cruise Lines"
ODFL,NasdaqGS:ODFL,"Old Dominion Freight Line, Inc.",Cargo Ground Transportation
LHX,NYSE:LHX,"L3Harris Technologies, Inc.",Aerospace and Defense
GEHC,NasdaqGS:GEHC,GE HealthCare Technologies Inc.,Health Care Equipment
A,NYSE:A,"Agilent Technologies, Inc.",Life Sciences Tools and Services
MRVL,NasdaqGS:MRVL,"Marvell Technology, Inc.",Semiconductors
XEL,NasdaqGS:XEL,Xcel Energy Inc.,Electric Utilities
YUM,NYSE:YUM,"Yum! Brands, Inc.",Restaurants
AIG,NYSE:AIG,"American International Group, Inc.",Multi-line Insurance
IQV,NYSE:IQV,IQVIA Holdings Inc.,Life Sciences Tools and Services
WBD,NasdaqGS:WBD,"Warner Bros. Discovery, Inc.",Movies and Entertainment
ILMN,NasdaqGS:ILMN,"Illumina, Inc.",Life Sciences Tools and Services
COF,NYSE:COF,Capital One Financial Corporation,Consumer Finance
SPG,NYSE:SPG,"Simon Property Group, Inc.",Retail REITs
WMB,NYSE:WMB,"The Williams Companies, Inc.",Oil and Gas Storage and Transportation
BK,NYSE:BK,The Bank of New York Mellon Corporation,Asset Management and Custody Banks
ROST,NasdaqGS:ROST,"Ross Stores, Inc.",Apparel Retail
APO,NYSE:APO,"Apollo Global Management, Inc.",Diversified Financial Services
CPRT,NasdaqGS:CPRT,"Copart, Inc.",Diversified Support Services
ON,NasdaqGS:ON,ON Semiconductor Corporation,Semiconductors
KR,NYSE:KR,The Kroger Co.,Food Retail
WELL,NYSE:WELL,Welltower Inc.,Health Care REITs
OTIS,NYSE:OTIS,Otis Worldwide Corporation,Industrial Machinery and Supplies and Components
CNC,NYSE:CNC,Centene Corporation,Managed Health Care
GWW,NYSE:GWW,"W.W. Grainger, Inc.",Trading Companies and Distributors
ED,NYSE:ED,"Consolidated Edison, Inc.",Multi-Utilities
CMI,NYSE:CMI,Cummins Inc.,Construction Machinery and Heavy Transportation Equipment
MTD,NYSE:MTD,Mettler-Toledo International Inc.,Life Sciences Tools and Services
ROK,NYSE:ROK,"Rockwell Automation, Inc.",Electrical Components and Equipment
DHI,NYSE:DHI,"D.R. Horton, Inc.",Homebuilding
AME,NYSE:AME,"AMETEK, Inc.",Electrical Components and Equipment
DVN,NYSE:DVN,Devon Energy Corporation,Oil and Gas Exploration and Production
EA,NasdaqGS:EA,Electronic Arts Inc.,Interactive Home Entertainment
DD,NYSE:DD,"DuPont de Nemours, Inc.",Specialty Chemicals
VICI,NYSE:VICI,VICI Properties Inc.,Other Specialized REITs
ABC,NYSE:ABC,AmerisourceBergen Corporation,Health Care Distributors
CRWD,NasdaqGS:CRWD,"CrowdStrike Holdings, Inc.",Systems Software
AMP,NYSE:AMP,"Ameriprise Financial, Inc.",Asset Management and Custody Banks
RMD,NYSE:RMD,ResMed Inc.,Health Care Equipment
FIS,NYSE:FIS,"Fidelity National Information Services, Inc.",Transaction and Payment Processing Services
PCG,NYSE:PCG,PG&E Corporation,Electric Utilities
DLTR,NasdaqGS:DLTR,"Dollar Tree, Inc.",Consumer Staples Merchandise Retail
PPG,NYSE:PPG,"PPG Industries, Inc.",Specialty Chemicals
PEG,NYSE:PEG,Public Service Enterprise Group Incorporated,Multi-Utilities
CTSH,NasdaqGS:CTSH,Cognizant Technology Solutions Corporation,IT Consulting and Other Services
BF.A,NYSE:BF.A,Brown-Forman Corporation,Distillers and Vintners
BF.B,NYSE:BF.B,Brown-Forman Corporation,Distillers and Vintners
FAST,NasdaqGS:FAST,Fastenal Company,Trading Companies and Distributors
LYB,NYSE:LYB,LyondellBasell Industries N.V.,Commodity Chemicals
APTV,NYSE:APTV,Aptiv PLC,Automotive Parts and Equipment
PRU,NYSE:PRU,"Prudential Financial, Inc.",Life and Health Insurance
WEC,NYSE:WEC,"WEC Energy Group, Inc.",Multi-Utilities
TTD,NasdaqGM:TTD,"The Trade Desk, Inc.",Advertising
GLW,NYSE:GLW,Corning Incorporated,Electronic Components
WBA,NasdaqGS:WBA,"Walgreens Boots Alliance, Inc.",Drug Retail
LEN,NYSE:LEN,Lennar Corporation,Homebuilding
LEN.B,NYSE:LEN.B,Lennar Corporation,Homebuilding
VRSK,NasdaqGS:VRSK,"Verisk Analytics, Inc.",Research and Consulting Services
DELL,NYSE:DELL,Dell Technologies Inc.,"Technology Hardware, Storage and Peripherals"
VEEV,NYSE:VEEV,Veeva Systems Inc.,Health Care Technology
BKR,NasdaqGS:BKR,Baker Hughes Company,Oil and Gas Equipment and Services
ALL,NYSE:ALL,The Allstate Corporation,Property and Casualty Insurance
HPQ,NYSE:HPQ,HP Inc.,"Technology Hardware, Storage and Peripherals"
ANSS,NasdaqGS:ANSS,"ANSYS, Inc.",Application Software
KEYS,NYSE:KEYS,"Keysight Technologies, Inc.",Electronic Equipment and Instruments
ENPH,NasdaqGM:ENPH,"Enphase Energy, Inc.",Semiconductor Materials and Equipment
DLR,NYSE:DLR,"Digital Realty Trust, Inc.",Data Center REITs
HAL,NYSE:HAL,Halliburton Company,Oil and Gas Equipment and Services
AWK,NYSE:AWK,"American Water Works Company, Inc.",Water Utilities
OKE,NYSE:OKE,"ONEOK, Inc.",Oil and Gas Storage and Transportation
SBAC,NasdaqGS:SBAC,SBA Communications Corporation,Telecom Tower REITs
CSGP,NasdaqGS:CSGP,"CoStar Group, Inc.",Research and Consulting Services
GPN,NYSE:GPN,Global Payments Inc.,Transaction and Payment Processing Services
URI,NYSE:URI,"United Rentals, Inc.",Trading Companies and Distributors
ULTA,NasdaqGS:ULTA,"Ulta Beauty, Inc.",Other Specialty Retail
ES,NYSE:ES,Eversource Energy,Electric Utilities
RBLX,NYSE:RBLX,Roblox Corporation,Interactive Home Entertainment
ZBH,NYSE:ZBH,"Zimmer Biomet Holdings, Inc.",Health Care Equipment
EIX,NYSE:EIX,Edison International,Electric Utilities
NDAQ,NasdaqGS:NDAQ,"Nasdaq, Inc.",Financial Exchanges and Data
CDW,NasdaqGS:CDW,CDW Corporation,Technology Distributors
STT,NYSE:STT,State Street Corporation,Asset Management and Custody Banks
ALB,NYSE:ALB,Albemarle Corporation,Specialty Chemicals
DFS,NYSE:DFS,Discover Financial Services,Consumer Finance
SPOT,NYSE:SPOT,Spotify Technology S.A.,Movies and Entertainment
TSCO,NasdaqGS:TSCO,Tractor Supply Company,Other Specialty Retail
IT,NYSE:IT,"Gartner, Inc.",IT Consulting and Other Services
CEG,NasdaqGS:CEG,Constellation Energy Corporation,Electric Utilities
WST,NYSE:WST,"West Pharmaceutical Services, Inc.",Life Sciences Tools and Services
ALGN,NasdaqGS:ALGN,"Align Technology, Inc.",Health Care Supplies
TROW,NasdaqGS:TROW,"T. Rowe Price Group, Inc.",Asset Management and Custody Banks
ACGL,NasdaqGS:ACGL,Arch Capital Group Ltd.,Property and Casualty Insurance
EFX,NYSE:EFX,Equifax Inc.,Research and Consulting Services
HZNP,NasdaqGS:HZNP,Horizon Therapeutics Public Limited Company,Biotechnology
DASH,NYSE:DASH,"DoorDash, Inc.",Restaurants
