STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
HSKA,NasdaqCM:HSKA,Heska Corporation,Health Care Equipment
NTST,NYSE:NTST,NETSTREIT Corp.,Retail REITs
DIN,NYSE:DIN,"Dine Brands Global, Inc.",Restaurants
CXW,NYSE:CXW,"CoreCivic, Inc.",Security and Alarm Services
GBX,NYSE:GBX,"The Greenbrier Companies, Inc.",Construction Machinery and Heavy Transportation Equipment
ETNB,NasdaqGM:ETNB,"89bio, Inc.",Biotechnology
ASIX,NYSE:ASIX,AdvanSix Inc.,Commodity Chemicals
PSFE,NYSE:PSFE,Paysafe Limited,Transaction and Payment Processing Services
ESRT,NYSE:ESRT,"Empire State Realty Trust, Inc.",Diversified REITs
ACCD,NasdaqGS:ACCD,"Accolade, Inc.",Health Care Services
ME,NasdaqGS:ME,23andMe Holding Co.,Health Care Services
BYND,NasdaqGS:BYND,"Beyond Meat, Inc.",Packaged Foods and Meats
CVNA,NYSE:CVNA,Carvana Co.,Automotive Retail
SBSI,NasdaqGS:SBSI,"Southside Bancshares, Inc.",Regional Banks
EGBN,NasdaqCM:EGBN,"Eagle Bancorp, Inc.",Regional Banks
PLAB,NasdaqGS:PLAB,"Photronics, Inc.",Semiconductor Materials and Equipment
TTGT,NasdaqGM:TTGT,"TechTarget, Inc.",Advertising
IMAX,NYSE:IMAX,IMAX Corporation,Movies and Entertainment
MBC,NYSE:MBC,"MasterBrand, Inc.",Building Products
HCSG,NasdaqGS:HCSG,"Healthcare Services Group, Inc.",Diversified Support Services
FIGS,NYSE:FIGS,"FIGS, Inc.",Health Care Supplies
ARGO,NYSE:ARGO,"Argo Group International Holdings, Ltd.",Property and Casualty Insurance
AZZ,NYSE:AZZ,AZZ Inc.,Building Products
ZNTL,NasdaqGM:ZNTL,"Zentalis Pharmaceuticals, Inc.",Biotechnology
ARKO,NasdaqCM:ARKO,Arko Corp.,Automotive Retail
GIC,NYSE:GIC,Global Industrial Company,Trading Companies and Distributors
KIDS,NasdaqGM:KIDS,OrthoPediatrics Corp.,Health Care Supplies
LBAI,NasdaqGS:LBAI,"Lakeland Bancorp, Inc.",Regional Banks
RYTM,NasdaqGM:RYTM,"Rhythm Pharmaceuticals, Inc.",Biotechnology
MFA,NYSE:MFA,"MFA Financial, Inc.",Mortgage REITs
RGR,NYSE:RGR,"Sturm, Ruger & Company, Inc.",Leisure Products
ARR,NYSE:ARR,"ARMOUR Residential REIT, Inc.",Mortgage REITs
SAVA,NasdaqCM:SAVA,"Cassava Sciences, Inc.",Pharmaceuticals
MGI,NasdaqGS:MGI,"MoneyGram International, Inc.",Transaction and Payment Processing Services
REPL,NasdaqGS:REPL,"Replimune Group, Inc.",Biotechnology
PRA,NYSE:PRA,ProAssurance Corporation,Property and Casualty Insurance
RDFN,NasdaqGS:RDFN,Redfin Corporation,Real Estate Services
LICY,NYSE:LICY,Li-Cycle Holdings Corp.,Environmental and Facilities Services
CCF,NYSEAM:CCF,Chase Corporation,Specialty Chemicals
OBNK,NasdaqGS:OBNK,"Origin Bancorp, Inc.",Regional Banks
ALX,NYSE:ALX,"Alexander's, Inc.",Retail REITs
PGRE,NYSE:PGRE,"Paramount Group, Inc.",Office REITs
VBTX,NasdaqGM:VBTX,"Veritex Holdings, Inc.",Regional Banks
FBRT,NYSE:FBRT,"Franklin BSP Realty Trust, Inc.",Mortgage REITs
LMND,NYSE:LMND,"Lemonade, Inc.",Property and Casualty Insurance
UFPT,NasdaqCM:UFPT,"UFP Technologies, Inc.",Health Care Supplies
GABC,NasdaqGS:GABC,"German American Bancorp, Inc.",Regional Banks
DAWN,NasdaqGS:DAWN,"Day One Biopharmaceuticals, Inc.",Biotechnology
GEO,NYSE:GEO,"The GEO Group, Inc.",Security and Alarm Services
DRQ,NYSE:DRQ,"Dril-Quip, Inc.",Oil and Gas Equipment and Services
XPOF,NYSE:XPOF,"Xponential Fitness, Inc.",Leisure Facilities
BSIG,NYSE:BSIG,BrightSphere Investment Group Inc.,Asset Management and Custody Banks
STGW,NasdaqGS:STGW,Stagwell Inc.,Advertising
CLNE,NasdaqGS:CLNE,Clean Energy Fuels Corp.,Oil and Gas Refining and Marketing
TMP,NYSEAM:TMP,Tompkins Financial Corporation,Regional Banks
APOG,NasdaqGS:APOG,"Apogee Enterprises, Inc.",Building Products
DSGR,NasdaqGS:DSGR,"Distribution Solutions Group, Inc.",Trading Companies and Distributors
SHEN,NasdaqGS:SHEN,Shenandoah Telecommunications Company,Wireless Telecommunication Services
FRG,NasdaqGM:FRG,"Franchise Group, Inc.",Other Specialty Retail
FWRG,NasdaqGS:FWRG,"First Watch Restaurant Group, Inc.",Restaurants
SCS,NYSE:SCS,Steelcase Inc.,Office Services and Supplies
ICHR,NasdaqGS:ICHR,"Ichor Holdings, Ltd.",Semiconductor Materials and Equipment
EWCZ,NasdaqGS:EWCZ,"European Wax Center, Inc.",Specialized Consumer Services
IMXI,NasdaqCM:IMXI,"International Money Express, Inc.",Transaction and Payment Processing Services
AMSF,NasdaqGS:AMSF,"AMERISAFE, Inc.",Property and Casualty Insurance
HPP,NYSE:HPP,"Hudson Pacific Properties, Inc.",Office REITs
ASTE,NasdaqGS:ASTE,"Astec Industries, Inc.",Construction Machinery and Heavy Transportation Equipment
MLAB,NasdaqGS:MLAB,"Mesa Laboratories, Inc.",Health Care Equipment
BFS,NYSE:BFS,"Saul Centers, Inc.",Retail REITs
ADEA,NasdaqGS:ADEA,Adeia Inc.,Systems Software
BHVN,NYSE:BHVN,Biohaven Ltd.,Biotechnology
BRKL,NasdaqGS:BRKL,"Brookline Bancorp, Inc.",Regional Banks
BLFS,NasdaqCM:BLFS,"BioLife Solutions, Inc.",Life Sciences Tools and Services
EQRX,NasdaqGM:EQRX,"EQRx, Inc.",Biotechnology
CWH,NYSE:CWH,"Camping World Holdings, Inc.",Automotive Retail
PAR,NYSE:PAR,PAR Technology Corporation,Electronic Equipment and Instruments
NIC,NYSE:NIC,"Nicolet Bankshares, Inc.",Regional Banks
CENX,NasdaqGS:CENX,Century Aluminum Company,Aluminum
HWKN,NasdaqGS:HWKN,"Hawkins, Inc.",Commodity Chemicals
FLGT,NasdaqGM:FLGT,"Fulgent Genetics, Inc.",Health Care Services
UTL,NYSE:UTL,Unitil Corporation,Multi-Utilities
OSTK,NasdaqGM:OSTK,"Overstock.com, Inc.",Homefurnishing Retail
AXL,NYSE:AXL,"American Axle & Manufacturing Holdings, Inc.",Automotive Parts and Equipment
MIRM,NasdaqGM:MIRM,"Mirum Pharmaceuticals, Inc.",Biotechnology
BALY,NYSE:BALY,Bally's Corporation,Casinos and Gaming
NYMT,NasdaqGS:NYMT,"New York Mortgage Trust, Inc.",Mortgage REITs
SLCA,NYSE:SLCA,"U.S. Silica Holdings, Inc.",Oil and Gas Equipment and Services
PLYM,NYSE:PLYM,"Plymouth Industrial REIT, Inc.",Industrial REITs
PDM,NYSE:PDM,"Piedmont Office Realty Trust, Inc.",Office REITs
PRDO,NasdaqGS:PRDO,Perdoceo Education Corporation,Education Services
ELVN,NasdaqGS:ELVN,"Enliven Therapeutics, Inc.",Pharmaceuticals
CFFN,NasdaqGS:CFFN,"Capitol Federal Financial, Inc.",Regional Banks
OM,NasdaqGS:OM,"Outset Medical, Inc.",Health Care Equipment
SLP,NasdaqGS:SLP,"Simulations Plus, Inc.",Health Care Technology
CHCT,NYSE:CHCT,Community Healthcare Trust Incorporated,Health Care REITs
NHC,NYSEAM:NHC,National HealthCare Corporation,Health Care Facilities
VERV,NasdaqGS:VERV,"Verve Therapeutics, Inc.",Biotechnology
GDOT,NYSE:GDOT,Green Dot Corporation,Consumer Finance
DCGO,NasdaqCM:DCGO,DocGo Inc.,Health Care Services
PRLB,NYSE:PRLB,"Proto Labs, Inc.",Industrial Machinery and Supplies and Components
NWLI,NasdaqGS:NWLI,"National Western Life Group, Inc.",Life and Health Insurance
UMH,NYSE:UMH,"UMH Properties, Inc.",Single-Family Residential REITs
ASLE,NasdaqCM:ASLE,AerSale Corporation,Aerospace and Defense
WOW,NYSE:WOW,"WideOpenWest, Inc.",Cable and Satellite
UUUU,NYSEAM:UUUU,Energy Fuels Inc.,Coal and Consumable Fuels
STKL,NasdaqGS:STKL,SunOpta Inc.,Packaged Foods and Meats
STEM,NYSE:STEM,"Stem, Inc.",Electrical Components and Equipment
DCOM,NasdaqGS:DCOM,"Dime Community Bancshares, Inc.",Regional Banks
SG,NYSE:SG,"Sweetgreen, Inc.",Restaurants
AMPS,NYSE:AMPS,"Altus Power, Inc.",Renewable Electricity
LPRO,NasdaqGM:LPRO,Open Lending Corporation,Financial Exchanges and Data
IDT,NYSE:IDT,IDT Corporation,Integrated Telecommunication Services
SPTN,NasdaqGS:SPTN,SpartanNash Company,Food Distributors
USLM,NasdaqGS:USLM,"United States Lime & Minerals, Inc.",Construction Materials
IESC,NasdaqGM:IESC,"IES Holdings, Inc.",Construction and Engineering
IMGN,NasdaqGS:IMGN,"ImmunoGen, Inc.",Biotechnology
HCCI,NasdaqGS:HCCI,"Heritage-Crystal Clean, Inc",Environmental and Facilities Services
AMWD,NasdaqGS:AMWD,American Woodmark Corporation,Building Products
CRNX,NasdaqGS:CRNX,"Crinetics Pharmaceuticals, Inc.",Biotechnology
AEHR,NasdaqCM:AEHR,Aehr Test Systems,Semiconductor Materials and Equipment
GDYN,NasdaqCM:GDYN,"Grid Dynamics Holdings, Inc.",IT Consulting and Other Services
TWST,NasdaqGS:TWST,Twist Bioscience Corporation,Biotechnology
HY,NYSE:HY,"Hyster-Yale Materials Handling, Inc.",Industrial Machinery and Supplies and Components
WT,NYSE:WT,"WisdomTree, Inc.",Asset Management and Custody Banks
EB,NYSE:EB,"Eventbrite, Inc.",Interactive Media and Services
QNST,NasdaqGS:QNST,"QuinStreet, Inc.",Interactive Media and Services
SCHN,NasdaqGS:SCHN,"Schnitzer Steel Industries, Inc.",Steel
CBAY,NasdaqGS:CBAY,"CymaBay Therapeutics, Inc.",Pharmaceuticals
SGH,NasdaqGS:SGH,"SMART Global Holdings, Inc.",Semiconductors
ENTA,NasdaqGS:ENTA,"Enanta Pharmaceuticals, Inc.",Biotechnology
UNIT,NasdaqGS:UNIT,Uniti Group Inc.,Other Specialized REITs
RTL,NasdaqGS:RTL,"The Necessity Retail REIT, Inc.",Retail REITs
ROVR,NasdaqGM:ROVR,"Rover Group, Inc.",Specialized Consumer Services
RBCA.A,NasdaqGS:RBCA.A,"Republic Bancorp, Inc.",Regional Banks
CSII,NasdaqGS:CSII,"Cardiovascular Systems, Inc.",Health Care Equipment
KURA,NasdaqGS:KURA,"Kura Oncology, Inc.",Biotechnology
THR,NYSE:THR,"Thermon Group Holdings, Inc.",Electrical Components and Equipment
BHE,NYSE:BHE,"Benchmark Electronics, Inc.",Electronic Manufacturing Services
HSTM,NasdaqGS:HSTM,"HealthStream, Inc.",Health Care Technology
EFC,NYSE:EFC,Ellington Financial Inc.,Mortgage REITs
PUMP,NYSE:PUMP,ProPetro Holding Corp.,Oil and Gas Equipment and Services
NAT,NYSE:NAT,Nordic American Tankers Limited,Oil and Gas Storage and Transportation
RPT,NYSE:RPT,RPT Realty,Retail REITs
SKWD,NasdaqGS:SKWD,"Skyward Specialty Insurance Group, Inc.",Property and Casualty Insurance
INBX,NasdaqGM:INBX,"Inhibrx, Inc.",Biotechnology
CBL,NYSE:CBL,"CBL & Associates Properties, Inc.",Retail REITs
RGNX,NasdaqGS:RGNX,REGENXBIO Inc.,Biotechnology
CCRN,NasdaqGS:CCRN,"Cross Country Healthcare, Inc.",Health Care Services
CSR,NYSE:CSR,Centerspace,Multi-Family Residential REITs
MRC,NYSE:MRC,MRC Global Inc.,Trading Companies and Distributors
RILY,NasdaqGM:RILY,"B. Riley Financial, Inc.",Investment Banking and Brokerage
HRT,NYSE:HRT,HireRight Holdings Corporation,Human Resource and Employment Services
COLL,NasdaqGS:COLL,"Collegium Pharmaceutical, Inc.",Pharmaceuticals
BY,NYSE:BY,"Byline Bancorp, Inc.",Regional Banks
AMRK,NasdaqGS:AMRK,"A-Mark Precious Metals, Inc.",Specialized Finance
BDN,NYSE:BDN,Brandywine Realty Trust,Office REITs
AC,NYSE:AC,"Associated Capital Group, Inc.",Asset Management and Custody Banks
GTN,NYSE:GTN,"Gray Television, Inc.",Broadcasting
TMST,NYSE:TMST,TimkenSteel Corporation,Steel
LPG,NYSE:LPG,Dorian LPG Ltd.,Oil and Gas Storage and Transportation
CDRE,NYSE:CDRE,"Cadre Holdings, Inc.",Aerospace and Defense
FBMS,NasdaqGM:FBMS,"The First Bancshares, Inc.",Regional Banks
THRY,NasdaqCM:THRY,"Thryv Holdings, Inc.",Advertising
SHYF,NasdaqGS:SHYF,"The Shyft Group, Inc.",Construction Machinery and Heavy Transportation Equipment
AHH,NYSE:AHH,"Armada Hoffler Properties, Inc.",Diversified REITs
SMP,NYSE:SMP,"Standard Motor Products, Inc.",Automotive Parts and Equipment
MTTR,NasdaqGM:MTTR,"Matterport, Inc.",Application Software
IBRX,NasdaqGS:IBRX,"ImmunityBio, Inc.",Biotechnology
SSP,NasdaqGS:SSP,The E.W. Scripps Company,Broadcasting
PFBC,NasdaqGS:PFBC,Preferred Bank,Regional Banks
ACEL,NYSE:ACEL,"Accel Entertainment, Inc.",Casinos and Gaming
KREF,NYSE:KREF,KKR Real Estate Finance Trust Inc.,Mortgage REITs
LXU,NYSE:LXU,"LSB Industries, Inc.",Diversified Chemicals
AVO,NasdaqGS:AVO,"Mission Produce, Inc.",Packaged Foods and Meats
MYE,NYSE:MYE,"Myers Industries, Inc.","Metal, Glass and Plastic Containers"
GPRO,NasdaqGS:GPRO,"GoPro, Inc.",Consumer Electronics
JRVR,NasdaqGS:JRVR,"James River Group Holdings, Ltd.",Property and Casualty Insurance
CRAI,NasdaqGS:CRAI,"CRA International, Inc.",Research and Consulting Services
FOR,NYSE:FOR,Forestar Group Inc.,Real Estate Development
ROCC,NasdaqGS:ROCC,Ranger Oil Corporation,Oil and Gas Exploration and Production
SCSC,NasdaqGS:SCSC,"ScanSource, Inc.",Technology Distributors
BFC,NasdaqCM:BFC,Bank First Corporation,Regional Banks
CAL,NYSE:CAL,"Caleres, Inc.",Apparel Retail
WTTR,NYSE:WTTR,"Select Energy Services, Inc.",Oil and Gas Equipment and Services
AVPT,NasdaqGS:AVPT,"AvePoint, Inc.",Application Software
LC,NYSE:LC,LendingClub Corporation,Consumer Finance
PNT,NasdaqCM:PNT,POINT Biopharma Global Inc.,Biotechnology
ENFN,NYSE:ENFN,"Enfusion, Inc.",Application Software
REPX,NYSEAM:REPX,"Riley Exploration Permian, Inc.",Oil and Gas Exploration and Production
RWT,NYSE:RWT,"Redwood Trust, Inc.",Mortgage REITs
INVA,NasdaqGS:INVA,"Innoviva, Inc.",Pharmaceuticals
ULH,NasdaqGS:ULH,"Universal Logistics Holdings, Inc.",Cargo Ground Transportation
VTLE,NYSE:VTLE,"Vital Energy, Inc.",Oil and Gas Exploration and Production
BRSP,NYSE:BRSP,"BrightSpire Capital, Inc.",Mortgage REITs
AMCX,NasdaqGS:AMCX,AMC Networks Inc.,Broadcasting
COGT,NasdaqGS:COGT,"Cogent Biosciences, Inc.",Biotechnology
TGI,NYSE:TGI,"Triumph Group, Inc.",Aerospace and Defense
SXC,NYSE:SXC,"SunCoke Energy, Inc.",Steel
HFWA,NasdaqGS:HFWA,Heritage Financial Corporation,Regional Banks
KNSA,NasdaqGS:KNSA,"Kiniksa Pharmaceuticals, Ltd.",Biotechnology
HIBB,NasdaqGS:HIBB,"Hibbett, Inc.",Other Specialty Retail
CNDT,NasdaqGS:CNDT,Conduent Incorporated,Data Processing and Outsourced Services
NEXT,NasdaqCM:NEXT,NextDecade Corporation,Oil and Gas Storage and Transportation
INN,NYSE:INN,"Summit Hotel Properties, Inc.",Hotel and Resort REITs
VTNR,NasdaqCM:VTNR,"Vertex Energy, Inc.",Oil and Gas Refining and Marketing
FLWS,NasdaqGS:FLWS,"1-800-FLOWERS.COM, Inc.",Other Specialty Retail
AOSL,NasdaqGS:AOSL,Alpha and Omega Semiconductor Limited,Semiconductors
WTI,NYSE:WTI,"W&T Offshore, Inc.",Oil and Gas Exploration and Production
BANC,NYSE:BANC,"Banc of California, Inc.",Regional Banks
QCRH,NasdaqGM:QCRH,"QCR Holdings, Inc.",Regional Banks
PFC,NasdaqGS:PFC,Premier Financial Corp.,Regional Banks
ADMA,NasdaqGM:ADMA,"ADMA Biologics, Inc.",Biotechnology
SCWX,NasdaqGS:SCWX,SecureWorks Corp.,Systems Software
DM,NYSE:DM,"Desktop Metal, Inc.",Industrial Machinery and Supplies and Components
PUBM,NasdaqGM:PUBM,"PubMatic, Inc.",Advertising
PLOW,NYSE:PLOW,"Douglas Dynamics, Inc.",Construction Machinery and Heavy Transportation Equipment
AMTB,NasdaqGS:AMTB,Amerant Bancorp Inc.,Regional Banks
BOC,NYSE:BOC,Boston Omaha Corporation,Advertising
TSE,NYSE:TSE,Trinseo PLC,Commodity Chemicals
VREX,NasdaqGS:VREX,Varex Imaging Corporation,Health Care Equipment
KOP,NYSE:KOP,Koppers Holdings Inc.,Commodity Chemicals
GIII,NasdaqGS:GIII,"G-III Apparel Group, Ltd.","Apparel, Accessories and Luxury Goods"
PEBO,NasdaqGS:PEBO,Peoples Bancorp Inc.,Regional Banks
RICK,NasdaqGM:RICK,"RCI Hospitality Holdings, Inc.",Leisure Facilities
NKLA,NasdaqGS:NKLA,Nikola Corporation,Construction Machinery and Heavy Transportation Equipment
MCRB,NasdaqGS:MCRB,"Seres Therapeutics, Inc.",Biotechnology
XMTR,NasdaqGS:XMTR,"Xometry, Inc.",Trading Companies and Distributors
ALLO,NasdaqGS:ALLO,"Allogene Therapeutics, Inc.",Biotechnology
REVG,NYSE:REVG,"REV Group, Inc.",Construction Machinery and Heavy Transportation Equipment
CEVA,NasdaqGS:CEVA,"CEVA, Inc.",Semiconductors
SNPO,NasdaqGS:SNPO,Snap One Holdings Corp.,Consumer Electronics
NX,NYSE:NX,Quanex Building Products Corporation,Building Products
CLFD,NasdaqGM:CLFD,"Clearfield, Inc.",Communications Equipment
ACHR,NYSE:ACHR,Archer Aviation Inc.,Aerospace and Defense
AMBC,NYSE:AMBC,"Ambac Financial Group, Inc.",Property and Casualty Insurance
OSPN,NasdaqCM:OSPN,OneSpan Inc.,Systems Software
ACMR,NasdaqGM:ACMR,"ACM Research, Inc.",Semiconductor Materials and Equipment
SCVL,NasdaqGS:SCVL,"Shoe Carnival, Inc.",Apparel Retail
ETD,NYSE:ETD,Ethan Allen Interiors Inc.,Home Furnishings
UVSP,NasdaqGS:UVSP,Univest Financial Corporation,Regional Banks
ACDC,NasdaqGS:ACDC,ProFrac Holding Corp.,Oil and Gas Equipment and Services
TELL,NYSEAM:TELL,Tellurian Inc.,Oil and Gas Exploration and Production
DLX,NYSE:DLX,Deluxe Corporation,Commercial Printing
CNOB,NasdaqGS:CNOB,"ConnectOne Bancorp, Inc.",Regional Banks
EHAB,NYSE:EHAB,"Enhabit, Inc.",Health Care Services
SIBN,NasdaqGM:SIBN,"SI-BONE, Inc.",Health Care Equipment
CHS,NYSE:CHS,"Chico's FAS, Inc.",Apparel Retail
TBPH,NasdaqGM:TBPH,"Theravance Biopharma, Inc.",Pharmaceuticals
BJRI,NasdaqGS:BJRI,"BJ's Restaurants, Inc.",Restaurants
TITN,NasdaqGS:TITN,Titan Machinery Inc.,Trading Companies and Distributors
CTBI,NasdaqGS:CTBI,"Community Trust Bancorp, Inc.",Regional Banks
TYRA,NasdaqGS:TYRA,"Tyra Biosciences, Inc.",Biotechnology
CCSI,NasdaqGS:CCSI,"Consensus Cloud Solutions, Inc.",Application Software
PBI,NYSE:PBI,Pitney Bowes Inc.,Office Services and Supplies
MPLN,NYSE:MPLN,MultiPlan Corporation,Health Care Technology
TRNS,NasdaqGM:TRNS,"Transcat, Inc.",Trading Companies and Distributors
INDT,NasdaqGM:INDT,"INDUS Realty Trust, Inc.",Industrial REITs
SP,NasdaqGS:SP,SP Plus Corporation,Environmental and Facilities Services
ARQT,NasdaqGS:ARQT,"Arcutis Biotherapeutics, Inc.",Biotechnology
TERN,NasdaqGS:TERN,"Terns Pharmaceuticals, Inc.",Pharmaceuticals
SNBR,NasdaqGS:SNBR,Sleep Number Corporation,Homefurnishing Retail
UFCS,NasdaqGS:UFCS,"United Fire Group, Inc.",Property and Casualty Insurance
GNLX,NasdaqCM:GNLX,Genelux Corporation,Biotechnology
AVXL,NasdaqGS:AVXL,Anavex Life Sciences Corp.,Biotechnology
DCO,NYSE:DCO,Ducommun Incorporated,Aerospace and Defense
IDYA,NasdaqGS:IDYA,"IDEAYA Biosciences, Inc.",Biotechnology
UHT,NYSE:UHT,Universal Health Realty Income Trust,Health Care REITs
MAX,NYSE:MAX,"MediaAlpha, Inc.",Interactive Media and Services
GNK,NYSE:GNK,Genco Shipping & Trading Limited,Marine Transportation
BIGC,NasdaqGM:BIGC,"BigCommerce Holdings, Inc.",Internet Services and Infrastructure
TWI,NYSE:TWI,"Titan International, Inc.",Agricultural and Farm Machinery
NUTX,NasdaqCM:NUTX,Nutex Health Inc.,Health Care Technology
AMWL,NYSE:AMWL,American Well Corporation,Health Care Technology
GRC,NYSE:GRC,The Gorman-Rupp Company,Industrial Machinery and Supplies and Components
BLBD,NasdaqGM:BLBD,Blue Bird Corporation,Construction Machinery and Heavy Transportation Equipment
DX,NYSE:DX,"Dynex Capital, Inc.",Mortgage REITs
HCAT,NasdaqGS:HCAT,"Health Catalyst, Inc.",Health Care Technology
ANIP,NasdaqGM:ANIP,"ANI Pharmaceuticals, Inc.",Pharmaceuticals
DYN,NasdaqGS:DYN,"Dyne Therapeutics, Inc.",Biotechnology
UBA,NYSE:UBA,Urstadt Biddle Properties Inc.,Retail REITs
CHUY,NasdaqGS:CHUY,"Chuy's Holdings, Inc.",Restaurants
AVD,NYSE:AVD,American Vanguard Corporation,Fertilizers and Agricultural Chemicals
KRUS,NasdaqGM:KRUS,"Kura Sushi USA, Inc.",Restaurants
CYH,NYSE:CYH,"Community Health Systems, Inc.",Health Care Facilities
BASE,NasdaqGS:BASE,"Couchbase, Inc.",Application Software
KAMN,NYSE:KAMN,Kaman Corporation,Aerospace and Defense
MLYS,NasdaqGS:MLYS,"Mineralys Therapeutics, Inc.",Biotechnology
JOUT,NasdaqGS:JOUT,Johnson Outdoors Inc.,Leisure Products
IHRT,NasdaqGS:IHRT,"iHeartMedia, Inc.",Broadcasting
YORW,NasdaqGS:YORW,The York Water Company,Water Utilities
VMEO,NasdaqGS:VMEO,"Vimeo, Inc.",Interactive Media and Services
MOV,NYSE:MOV,"Movado Group, Inc.","Apparel, Accessories and Luxury Goods"
ARCT,NasdaqGM:ARCT,Arcturus Therapeutics Holdings Inc.,Biotechnology
SMR,NYSE:SMR,NuScale Power Corporation,Heavy Electrical Equipment
HROW,NasdaqGM:HROW,"Harrow Health, Inc.",Pharmaceuticals
HBT,NasdaqGS:HBT,"HBT Financial, Inc.",Regional Banks
CIR,NYSE:CIR,"CIRCOR International, Inc.",Industrial Machinery and Supplies and Components
PTSI,NasdaqGM:PTSI,"P.A.M. Transportation Services, Inc.",Cargo Ground Transportation
ATNI,NasdaqGS:ATNI,"ATN International, Inc.",Integrated Telecommunication Services
BLX,NYSE:BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Specialized Finance
PLPC,NasdaqGS:PLPC,Preformed Line Products Company,Electrical Components and Equipment
DENN,NasdaqCM:DENN,Denny's Corporation,Restaurants
RAPT,NasdaqGM:RAPT,"RAPT Therapeutics, Inc.",Biotechnology
VRAY,NasdaqGM:VRAY,"ViewRay, Inc.",Health Care Equipment
HZO,NYSE:HZO,"MarineMax, Inc.",Other Specialty Retail
OSBC,NasdaqGS:OSBC,"Old Second Bancorp, Inc.",Regional Banks
VTOL,NYSE:VTOL,Bristow Group Inc.,Oil and Gas Equipment and Services
HAYN,NasdaqGS:HAYN,"Haynes International, Inc.",Steel
SANA,NasdaqGS:SANA,"Sana Biotechnology, Inc.",Biotechnology
EGLE,NYSE:EGLE,Eagle Bulk Shipping Inc.,Marine Transportation
VITL,NasdaqGM:VITL,"Vital Farms, Inc.",Packaged Foods and Meats
ATEX,NasdaqCM:ATEX,Anterix Inc.,Alternative Carriers
HLVX,NasdaqGS:HLVX,"HilleVax, Inc.",Biotechnology
AMOT,NasdaqGM:AMOT,Allied Motion Technologies Inc.,Electrical Components and Equipment
FORR,NasdaqGS:FORR,"Forrester Research, Inc.",Research and Consulting Services
PAHC,NasdaqGM:PAHC,Phibro Animal Health Corporation,Pharmaceuticals
BRMK,NYSE:BRMK,Broadmark Realty Capital Inc.,Mortgage REITs
GSBC,NasdaqGS:GSBC,"Great Southern Bancorp, Inc.",Regional Banks
KELY.A,NasdaqGS:KELY.A,"Kelly Services, Inc.",Human Resource and Employment Services
BXC,NYSE:BXC,BlueLinx Holdings Inc.,Trading Companies and Distributors
SPRY,NasdaqGM:SPRY,"ARS Pharmaceuticals, Inc.",Biotechnology
OFIX,NasdaqGS:OFIX,Orthofix Medical Inc.,Health Care Equipment
ASC,NYSE:ASC,Ardmore Shipping Corporation,Oil and Gas Storage and Transportation
BBSI,NasdaqGS:BBSI,"Barrett Business Services, Inc.",Human Resource and Employment Services
ANAB,NasdaqGS:ANAB,"AnaptysBio, Inc.",Biotechnology
TRST,NasdaqGS:TRST,TrustCo Bank Corp NY,Regional Banks
TK,NYSE:TK,Teekay Corporation,Oil and Gas Storage and Transportation
CSTL,NasdaqGM:CSTL,"Castle Biosciences, Inc.",Health Care Services
HSII,NasdaqGS:HSII,"Heidrick & Struggles International, Inc.",Human Resource and Employment Services
MTW,NYSE:MTW,"The Manitowoc Company, Inc.",Construction Machinery and Heavy Transportation Equipment
OPI,NasdaqGS:OPI,Office Properties Income Trust,Office REITs
NVAX,NasdaqGS:NVAX,"Novavax, Inc.",Biotechnology
GMRE,NYSE:GMRE,Global Medical REIT Inc.,Health Care REITs
KE,NasdaqGS:KE,"Kimball Electronics, Inc.",Electronic Manufacturing Services
BRY,NasdaqGS:BRY,Berry Corporation,Oil and Gas Exploration and Production
WASH,NasdaqGS:WASH,"Washington Trust Bancorp, Inc.",Regional Banks
LAND,NasdaqGM:LAND,Gladstone Land Corporation,Other Specialized REITs
CASS,NasdaqGS:CASS,"Cass Information Systems, Inc.",Transaction and Payment Processing Services
IGMS,NasdaqGS:IGMS,"IGM Biosciences, Inc.",Biotechnology
LWLG,NasdaqCM:LWLG,"Lightwave Logic, Inc.",Electronic Components
ORGN,NasdaqCM:ORGN,"Origin Materials, Inc.",Commodity Chemicals
LYEL,NasdaqGS:LYEL,"Lyell Immunopharma, Inc.",Biotechnology
SEAT,NasdaqGS:SEAT,Vivid Seats Inc.,Movies and Entertainment
CUBI,NYSE:CUBI,"Customers Bancorp, Inc.",Regional Banks
HOUS,NYSE:HOUS,Anywhere Real Estate Inc.,Real Estate Services
ALDX,NasdaqCM:ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology
EE,NYSE:EE,"Excelerate Energy, Inc.",Oil and Gas Storage and Transportation
ZEUS,NasdaqGS:ZEUS,"Olympic Steel, Inc.",Steel
FPI,NYSE:FPI,Farmland Partners Inc.,Other Specialized REITs
RPAY,NasdaqCM:RPAY,Repay Holdings Corporation,Transaction and Payment Processing Services
CIFR,NasdaqGS:CIFR,Cipher Mining Inc.,Application Software
VSEC,NasdaqGS:VSEC,VSE Corporation,Diversified Support Services
RBBN,NasdaqGS:RBBN,Ribbon Communications Inc.,Communications Equipment
APEN,NasdaqGM:APEN,"Apollo Endosurgery, Inc.",Health Care Equipment
